wavelength_nm,reflectance
704.0,0.212322
705.0,0.212874
706.0,0.213444
707.0,0.214021
708.0,0.214575
709.0,0.215117
710.0,0.215675
711.0,0.216244
712.0,0.216794
713.0,0.217368
714.0,0.217970
715.0,0.218592
716.0,0.219214
717.0,0.219850
718.0,0.220544
719.0,0.221263
720.0,0.221952
721.0,0.222590
722.0,0.223156
723.0,0.223694
724.0,0.224283
725.0,0.224963
726.0,0.225640
727.0,0.226283
728.0,0.226884
729.0,0.227489
730.0,0.228136
731.0,0.228790
732.0,0.229405
733.0,0.229958
734.0,0.230502
735.0,0.231072
736.0,0.231673
737.0,0.232273
738.0,0.232862
739.0,0.233418
740.0,0.233958
741.0,0.234509
742.0,0.235059
743.0,0.235593
744.0,0.236110
745.0,0.236633
746.0,0.237165
747.0,0.237704
748.0,0.238236
749.0,0.238748
750.0,0.239266
751.0,0.239789
752.0,0.240301
753.0,0.240806
754.0,0.241310
755.0,0.241812
756.0,0.242304
757.0,0.242819
758.0,0.243319
770.0,0.249017
771.0,0.249424
772.0,0.249852
773.0,0.250285
774.0,0.250720
775.0,0.251161
776.0,0.251608
777.0,0.252056
778.0,0.252494
779.0,0.252932
780.0,0.253377
781.0,0.253826
782.0,0.254271
783.0,0.254721
784.0,0.255172
785.0,0.255622
786.0,0.256081
787.0,0.256537
788.0,0.256992
789.0,0.257454
790.0,0.257904
791.0,0.258331
792.0,0.258736
793.0,0.259141
794.0,0.259562
795.0,0.259988
796.0,0.260414
797.0,0.260865
798.0,0.261305
799.0,0.261732
800.0,0.262160
801.0,0.262585
802.0,0.263000
803.0,0.263412
804.0,0.263840
805.0,0.264252
806.0,0.264653
807.0,0.265057
808.0,0.265477
809.0,0.265901
810.0,0.266323
811.0,0.266733
812.0,0.267123
813.0,0.267501
814.0,0.267888
815.0,0.268302
816.0,0.268701
817.0,0.269108
818.0,0.269535
819.0,0.269968
820.0,0.270354
821.0,0.270740
822.0,0.271153
823.0,0.271543
824.0,0.271958
825.0,0.272366
826.0,0.272733
827.0,0.273109
828.0,0.273473
829.0,0.273842
830.0,0.274235
831.0,0.274636
832.0,0.275017
833.0,0.275379
834.0,0.275751
835.0,0.276122
836.0,0.276482
837.0,0.276835
838.0,0.277201
839.0,0.277547
840.0,0.277885
841.0,0.278234
842.0,0.278566
843.0,0.278927
844.0,0.279300
845.0,0.279639
846.0,0.279982
847.0,0.280331
848.0,0.280689
849.0,0.281053
850.0,0.281387
851.0,0.281735
852.0,0.282109
853.0,0.282419
854.0,0.282748
855.0,0.283109
856.0,0.283485
857.0,0.283850
858.0,0.284192
859.0,0.284516
860.0,0.284837
861.0,0.285163
862.0,0.285491
863.0,0.285816
864.0,0.286138
865.0,0.286469
866.0,0.286799
867.0,0.287131
868.0,0.287491
869.0,0.287847
870.0,0.288190
871.0,0.288515
872.0,0.288830
873.0,0.289178
874.0,0.289533
875.0,0.289855
876.0,0.290179
877.0,0.290526
878.0,0.290881
879.0,0.291212
880.0,0.291553
881.0,0.291897
882.0,0.292241
883.0,0.292585
884.0,0.292930
885.0,0.293264
886.0,0.293580
887.0,0.293886
888.0,0.294232
889.0,0.294578
890.0,0.294891
891.0,0.295233
892.0,0.295556
893.0,0.295822
894.0,0.296034
895.0,0.296308
896.0,0.296578
897.0,0.296799
898.0,0.296975
899.0,0.297226
900.0,0.297623
901.0,0.298085
902.0,0.298421
903.0,0.298754
904.0,0.299068
905.0,0.299373
906.0,0.299699
907.0,0.299905
908.0,0.300085
909.0,0.300330
910.0,0.300578
911.0,0.300871
912.0,0.301158
913.0,0.301420
914.0,0.301786
915.0,0.302110
916.0,0.302434
917.0,0.302846
918.0,0.303246
919.0,0.303634
920.0,0.304011
921.0,0.304381
922.0,0.304716
923.0,0.304972
924.0,0.305176
925.0,0.305398
926.0,0.305523
927.0,0.305526
928.0,0.305369
929.0,0.305029
930.0,0.304637
931.0,0.303939
932.0,0.302732
933.0,0.301461
934.0,0.300040
935.0,0.299028
936.0,0.298908
937.0,0.299156
938.0,0.300055
939.0,0.300940
940.0,0.301450
941.0,0.302448
942.0,0.303043
943.0,0.303238
944.0,0.303356
945.0,0.303440
946.0,0.303345
947.0,0.303594
948.0,0.304637
949.0,0.304772
950.0,0.304887
951.0,0.305317
952.0,0.305854
953.0,0.306485
954.0,0.306960
955.0,0.307493
956.0,0.308502
957.0,0.308976
958.0,0.309403
959.0,0.309937
960.0,0.310265
961.0,0.310858
962.0,0.311493
963.0,0.312131
964.0,0.313046
965.0,0.313901
966.0,0.314597
967.0,0.315171
968.0,0.315781
969.0,0.316173
970.0,0.316474
