wavelength_nm,reflectance
768.0,0.473908
769.0,0.474021
770.0,0.474118
771.0,0.474192
772.0,0.474236
773.0,0.474266
774.0,0.474299
775.0,0.474348
776.0,0.474404
777.0,0.474452
778.0,0.474481
779.0,0.474497
780.0,0.474509
781.0,0.474528
782.0,0.474559
783.0,0.474609
784.0,0.474682
785.0,0.474764
786.0,0.474841
787.0,0.474901
788.0,0.474948
789.0,0.474988
790.0,0.475028
791.0,0.475063
792.0,0.475090
793.0,0.475103
794.0,0.475108
795.0,0.475107
796.0,0.475105
797.0,0.475104
798.0,0.475105
799.0,0.475110
800.0,0.475117
801.0,0.475127
802.0,0.475135
803.0,0.475128
804.0,0.475090
805.0,0.475013
806.0,0.474929
807.0,0.474876
808.0,0.474883
809.0,0.474935
810.0,0.475004
811.0,0.475066
812.0,0.475103
813.0,0.475101
814.0,0.475054
815.0,0.474996
816.0,0.474970
817.0,0.475004
818.0,0.475057
819.0,0.475072
820.0,0.475014
821.0,0.474928
822.0,0.474879
823.0,0.474914
824.0,0.475004
825.0,0.475101
826.0,0.475166
827.0,0.475202
828.0,0.475222
829.0,0.475236
830.0,0.475250
831.0,0.475269
832.0,0.475293
833.0,0.475303
834.0,0.475278
835.0,0.475205
836.0,0.475119
837.0,0.475064
838.0,0.475072
839.0,0.475125
840.0,0.475195
841.0,0.475254
842.0,0.475291
843.0,0.475298
844.0,0.475277
845.0,0.475267
846.0,0.475317
847.0,0.475453
848.0,0.475602
849.0,0.475669
850.0,0.475591
851.0,0.475436
852.0,0.475304
853.0,0.475270
854.0,0.475300
855.0,0.475335
856.0,0.475331
857.0,0.475296
858.0,0.475255
859.0,0.475226
860.0,0.475203
861.0,0.475174
862.0,0.475131
863.0,0.475085
864.0,0.475053
865.0,0.475045
866.0,0.475044
867.0,0.475032
868.0,0.474992
869.0,0.474930
870.0,0.474859
871.0,0.474789
872.0,0.474733
873.0,0.474699
874.0,0.474693
875.0,0.474690
876.0,0.474657
877.0,0.474577
878.0,0.474481
879.0,0.474412
880.0,0.474402
881.0,0.474435
882.0,0.474483
883.0,0.474519
884.0,0.474519
885.0,0.474462
886.0,0.474344
887.0,0.474228
888.0,0.474199
889.0,0.474304
890.0,0.474464
891.0,0.474561
892.0,0.474516
893.0,0.474383
894.0,0.474250
895.0,0.474189
896.0,0.474196
897.0,0.474252
898.0,0.474339
899.0,0.474440
900.0,0.474544
901.0,0.474631
902.0,0.474663
903.0,0.474597
904.0,0.474420
905.0,0.474232
906.0,0.474165
907.0,0.474301
908.0,0.474542
909.0,0.474740
910.0,0.474784
911.0,0.474699
912.0,0.474546
913.0,0.474377
914.0,0.474217
915.0,0.474082
916.0,0.473989
917.0,0.473954
918.0,0.473993
919.0,0.474103
920.0,0.474203
921.0,0.474196
922.0,0.474019
923.0,0.473769
924.0,0.473578
925.0,0.473535
926.0,0.473560
927.0,0.473528
928.0,0.473347
929.0,0.473051
930.0,0.472710
931.0,0.472379
932.0,0.472069
933.0,0.471778
934.0,0.471508
935.0,0.471256
936.0,0.471022
937.0,0.470806
938.0,0.470607
939.0,0.470425
940.0,0.470257
1005.0,0.462212
1006.0,0.462593
1007.0,0.463206
1008.0,0.463800
1009.0,0.464182
1010.0,0.464357
1011.0,0.464383
1012.0,0.464318
1013.0,0.464219
1014.0,0.464144
1015.0,0.464152
1016.0,0.464279
1017.0,0.464512
1018.0,0.464833
1019.0,0.465206
1020.0,0.465563
1021.0,0.465832
1022.0,0.465981
1023.0,0.466074
1024.0,0.466185
1025.0,0.466347
1026.0,0.466494
1027.0,0.466546
1028.0,0.466475
1029.0,0.466368
1030.0,0.466325
1031.0,0.466403
1032.0,0.466556
1033.0,0.466723
1034.0,0.466867
1035.0,0.466996
1036.0,0.467127
1037.0,0.467266
1038.0,0.467401
1039.0,0.467516
1040.0,0.467596
1041.0,0.467632
1042.0,0.467615
1043.0,0.467548
1044.0,0.467463
1045.0,0.467395
1046.0,0.467368
1047.0,0.467387
1048.0,0.467452
1049.0,0.467547
1050.0,0.467624
1051.0,0.467626
1052.0,0.467535
1053.0,0.467405
1054.0,0.467304
1055.0,0.467272
1056.0,0.467291
1057.0,0.467336
1058.0,0.467384
1059.0,0.467422
1060.0,0.467434
1061.0,0.467417
1062.0,0.467388
1063.0,0.467365
1064.0,0.467361
1065.0,0.467367
1066.0,0.467375
1067.0,0.467379
1068.0,0.467389
1069.0,0.467416
1070.0,0.467462
1071.0,0.467512
1072.0,0.467548
1073.0,0.467554
1074.0,0.467513
1075.0,0.467409
1076.0,0.467246
1077.0,0.467068
1078.0,0.466926
1079.0,0.466853
1080.0,0.466842
1081.0,0.466877
1082.0,0.466941
1083.0,0.466998
1084.0,0.467017
1085.0,0.466978
1086.0,0.466909
1087.0,0.466843
1088.0,0.466797
1089.0,0.466760
1090.0,0.466717
1091.0,0.466654
1092.0,0.466549
1093.0,0.466385
1094.0,0.466157
1095.0,0.465890
1096.0,0.465617
1097.0,0.465366
1098.0,0.465165
1099.0,0.465041
1100.0,0.464996
1101.0,0.464984
1102.0,0.464950
1103.0,0.464864
1104.0,0.464749
1105.0,0.464636
1106.0,0.464548
1107.0,0.464484
1108.0,0.464447
1109.0,0.464426
1110.0,0.464399
1111.0,0.464340
1112.0,0.464231
1113.0,0.464075
1114.0,0.463877
1115.0,0.463650
1116.0,0.463425
1117.0,0.463240
1118.0,0.463102
1119.0,0.462968
1120.0,0.462786
1121.0,0.462525
1122.0,0.462200
1123.0,0.461831
1124.0,0.461437
1125.0,0.461027
1126.0,0.460611
1127.0,0.460190
1128.0,0.459749
1129.0,0.459274
1130.0,0.458757
1131.0,0.458212
1132.0,0.457655
1133.0,0.457084
1134.0,0.456446
1135.0,0.455686
1136.0,0.454786
1137.0,0.453818
1138.0,0.452863
1139.0,0.451970
1140.0,0.451116
1141.0,0.450268
1142.0,0.449412
1143.0,0.448573
1144.0,0.447786
1145.0,0.447065
1146.0,0.446387
1147.0,0.445720
1148.0,0.445041
1149.0,0.444339
1150.0,0.443606
1151.0,0.442841
1152.0,0.442069
1153.0,0.441316
1154.0,0.440608
1155.0,0.439972
1156.0,0.439434
1157.0,0.439003
1158.0,0.438647
1159.0,0.438329
1160.0,0.438024
1161.0,0.437730
1162.0,0.437451
1163.0,0.437190
1164.0,0.436956
1165.0,0.436756
1166.0,0.436589
1167.0,0.436433
1168.0,0.436266
1169.0,0.436067
1170.0,0.435824
1171.0,0.435527
1172.0,0.435185
1173.0,0.434850
1174.0,0.434579
1175.0,0.434405
1176.0,0.434300
1177.0,0.434228
1178.0,0.434161
1179.0,0.434079
1180.0,0.433967
1181.0,0.433811
1182.0,0.433610
1183.0,0.433361
1184.0,0.433075
1185.0,0.432789
1186.0,0.432544
1187.0,0.432361
1188.0,0.432218
1189.0,0.432085
1190.0,0.431948
1191.0,0.431822
1192.0,0.431723
1193.0,0.431668
1194.0,0.431662
1195.0,0.431710
1196.0,0.431798
1197.0,0.431876
1198.0,0.431888
1199.0,0.431807
1200.0,0.431668
1201.0,0.431516
1202.0,0.431384
1203.0,0.431281
1204.0,0.431215
1205.0,0.431194
1206.0,0.431228
1207.0,0.431331
1208.0,0.431492
1209.0,0.431664
1210.0,0.431789
1211.0,0.431843
1212.0,0.431865
1213.0,0.431902
1214.0,0.431985
1215.0,0.432105
1216.0,0.432245
1217.0,0.432393
1218.0,0.432539
1219.0,0.432677
1220.0,0.432805
1221.0,0.432944
1222.0,0.433116
1223.0,0.433333
1224.0,0.433588
1225.0,0.433872
1226.0,0.434171
1227.0,0.434466
1228.0,0.434735
1229.0,0.434974
1230.0,0.435207
1231.0,0.435467
1232.0,0.435762
1233.0,0.436055
1234.0,0.436301
1235.0,0.436476
1236.0,0.436598
1237.0,0.436695
1238.0,0.436781
1239.0,0.436849
1240.0,0.436887
1241.0,0.436898
1242.0,0.436909
1243.0,0.436954
1244.0,0.437050
1245.0,0.437182
1246.0,0.437331
1247.0,0.437472
1248.0,0.437574
1249.0,0.437604
1250.0,0.437554
1251.0,0.437480
1252.0,0.437443
1253.0,0.437477
1254.0,0.437558
1255.0,0.437650
1256.0,0.437730
1257.0,0.437788
1258.0,0.437818
1259.0,0.437820
1260.0,0.437808
1261.0,0.437798
1262.0,0.437800
1263.0,0.437804
1264.0,0.437801
1265.0,0.437781
1266.0,0.437741
1267.0,0.437677
1268.0,0.437594
1269.0,0.437513
1270.0,0.437457
1271.0,0.437433
1272.0,0.437413
1273.0,0.437362
1274.0,0.437266
1275.0,0.437150
1276.0,0.437048
1277.0,0.436975
1278.0,0.436914
1279.0,0.436843
1280.0,0.436744
1281.0,0.436614
1282.0,0.436451
1283.0,0.436260
1284.0,0.436060
1285.0,0.435870
1286.0,0.435702
1287.0,0.435543
