wavelength_nm,reflectance
704.0,0.256714
705.0,0.257348
706.0,0.257975
707.0,0.258594
708.0,0.259206
709.0,0.259811
710.0,0.260408
711.0,0.260997
712.0,0.261577
713.0,0.262149
714.0,0.262716
715.0,0.263278
716.0,0.263835
717.0,0.264387
718.0,0.264931
719.0,0.265468
720.0,0.265999
721.0,0.266525
722.0,0.267046
723.0,0.267561
724.0,0.268072
725.0,0.268577
726.0,0.269079
727.0,0.269577
728.0,0.270072
729.0,0.270563
730.0,0.271049
731.0,0.271530
732.0,0.272008
733.0,0.272481
734.0,0.272950
735.0,0.273415
736.0,0.273877
737.0,0.274334
738.0,0.274787
739.0,0.275236
740.0,0.275681
741.0,0.276122
742.0,0.276559
743.0,0.276993
744.0,0.277425
745.0,0.277856
746.0,0.278287
747.0,0.278715
748.0,0.279142
749.0,0.279565
750.0,0.279983
751.0,0.280395
752.0,0.280801
753.0,0.281203
754.0,0.281602
755.0,0.281998
756.0,0.282395
757.0,0.282793
758.0,0.283192
759.0,0.283591
760.0,0.283989
761.0,0.284385
762.0,0.284779
763.0,0.285170
764.0,0.285557
765.0,0.285941
766.0,0.286322
767.0,0.286701
768.0,0.287077
769.0,0.287454
770.0,0.287828
771.0,0.288197
772.0,0.288561
773.0,0.288920
774.0,0.289277
775.0,0.289632
776.0,0.289986
777.0,0.290341
778.0,0.290696
779.0,0.291050
780.0,0.291403
781.0,0.291756
782.0,0.292108
783.0,0.292458
784.0,0.292807
785.0,0.293153
786.0,0.293496
787.0,0.293835
788.0,0.294170
789.0,0.294504
790.0,0.294835
791.0,0.295166
792.0,0.295495
793.0,0.295823
794.0,0.296150
795.0,0.296474
796.0,0.296797
797.0,0.297118
798.0,0.297440
799.0,0.297762
800.0,0.298084
801.0,0.298401
802.0,0.298714
803.0,0.299023
804.0,0.299328
805.0,0.299632
806.0,0.299934
807.0,0.300235
808.0,0.300534
809.0,0.300833
810.0,0.301132
811.0,0.301430
812.0,0.301727
813.0,0.302023
814.0,0.302315
815.0,0.302606
816.0,0.302894
817.0,0.303181
818.0,0.303467
819.0,0.303752
820.0,0.304038
821.0,0.304322
822.0,0.304605
823.0,0.304887
824.0,0.305167
825.0,0.305445
826.0,0.305722
827.0,0.305997
828.0,0.306269
829.0,0.306539
830.0,0.306807
831.0,0.307074
832.0,0.307339
833.0,0.307604
834.0,0.307868
835.0,0.308131
836.0,0.308393
837.0,0.308655
838.0,0.308917
839.0,0.309178
840.0,0.309436
841.0,0.309691
842.0,0.309943
843.0,0.310193
844.0,0.310439
845.0,0.310684
846.0,0.310926
847.0,0.311167
848.0,0.311405
849.0,0.311642
850.0,0.311878
851.0,0.312114
852.0,0.312351
853.0,0.312589
854.0,0.312828
855.0,0.313064
856.0,0.313298
857.0,0.313529
858.0,0.313756
859.0,0.313980
860.0,0.314202
861.0,0.314422
862.0,0.314641
863.0,0.314858
864.0,0.315074
865.0,0.315289
866.0,0.315504
867.0,0.315719
868.0,0.315936
869.0,0.316153
870.0,0.316369
871.0,0.316583
872.0,0.316794
873.0,0.317001
874.0,0.317205
875.0,0.317407
876.0,0.317605
877.0,0.317803
878.0,0.317998
879.0,0.318192
880.0,0.318383
881.0,0.318573
882.0,0.318764
883.0,0.318956
884.0,0.319148
885.0,0.319339
886.0,0.319528
887.0,0.319713
888.0,0.319895
889.0,0.320075
890.0,0.320253
891.0,0.320431
892.0,0.320611
893.0,0.320791
894.0,0.320970
895.0,0.321147
896.0,0.321323
897.0,0.321498
898.0,0.321673
899.0,0.321848
900.0,0.322023
901.0,0.322196
902.0,0.322368
903.0,0.322540
904.0,0.322710
905.0,0.322880
906.0,0.323050
907.0,0.323219
908.0,0.323388
909.0,0.323558
910.0,0.323729
911.0,0.323900
912.0,0.324072
913.0,0.324244
914.0,0.324415
915.0,0.324584
916.0,0.324751
917.0,0.324916
918.0,0.325083
919.0,0.325253
920.0,0.325425
921.0,0.325600
922.0,0.325777
923.0,0.325955
924.0,0.326135
925.0,0.326315
926.0,0.326495
927.0,0.326676
928.0,0.326857
929.0,0.327037
930.0,0.327216
931.0,0.327392
932.0,0.327567
933.0,0.327743
934.0,0.327921
935.0,0.328101
936.0,0.328282
937.0,0.328463
938.0,0.328643
939.0,0.328820
940.0,0.328991
941.0,0.329160
942.0,0.329328
943.0,0.329497
944.0,0.329665
945.0,0.329833
946.0,0.329999
947.0,0.330162
948.0,0.330324
949.0,0.330483
950.0,0.330639
951.0,0.330791
952.0,0.330937
953.0,0.331079
954.0,0.331219
955.0,0.331359
956.0,0.331496
957.0,0.331632
958.0,0.331766
959.0,0.331896
960.0,0.332024
961.0,0.332149
962.0,0.332269
963.0,0.332383
964.0,0.332488
965.0,0.332588
966.0,0.332682
967.0,0.332774
968.0,0.332862
969.0,0.332947
970.0,0.333029
971.0,0.333111
972.0,0.333193
973.0,0.333279
974.0,0.333367
975.0,0.333457
976.0,0.333547
977.0,0.333639
978.0,0.333732
979.0,0.333828
980.0,0.333928
981.0,0.334033
982.0,0.334145
983.0,0.334263
984.0,0.334384
985.0,0.334507
986.0,0.334632
987.0,0.334762
988.0,0.334895
989.0,0.335031
990.0,0.335164
991.0,0.335292
992.0,0.335419
993.0,0.335547
994.0,0.335680
995.0,0.335819
996.0,0.335966
997.0,0.336115
998.0,0.336227
999.0,0.336256
1000.0,0.336175
1001.0,0.336031
1002.0,0.335892
1003.0,0.335815
1004.0,0.335814
1005.0,0.335892
1006.0,0.336046
1007.0,0.336240
1008.0,0.336428
1009.0,0.336580
1010.0,0.336717
1011.0,0.336871
1012.0,0.337064
1013.0,0.337285
1014.0,0.337510
1015.0,0.337715
1016.0,0.337888
1017.0,0.338041
1018.0,0.338189
1019.0,0.338342
1020.0,0.338498
1021.0,0.338651
1022.0,0.338800
1023.0,0.338947
1024.0,0.339095
1025.0,0.339247
1026.0,0.339402
1027.0,0.339558
1028.0,0.339716
1029.0,0.339873
1030.0,0.340032
1031.0,0.340192
1032.0,0.340353
1033.0,0.340514
1034.0,0.340675
1035.0,0.340837
1036.0,0.341000
1037.0,0.341163
1038.0,0.341328
1039.0,0.341493
1040.0,0.341658
1041.0,0.341824
1042.0,0.341988
1043.0,0.342153
1044.0,0.342316
1045.0,0.342478
1046.0,0.342638
1047.0,0.342795
1048.0,0.342947
1049.0,0.343095
1050.0,0.343238
1051.0,0.343378
1052.0,0.343515
1053.0,0.343650
1054.0,0.343785
1055.0,0.343921
1056.0,0.344058
1057.0,0.344197
1058.0,0.344337
1059.0,0.344481
1060.0,0.344628
1061.0,0.344779
1062.0,0.344933
